job_id,arrival_time,burst_time,priority,mem_util
0,21054,178349.0,0,500
1,28538,2.0,10,100
2,28538,2.0,10,75
3,28538,2.0,0,100
4,28538,2.0,10,50
5,28538,2.0,10,250
6,28538,1.0,10,10
7,28538,2.0,10,500
8,28538,2.0,10,50
9,28538,2.0,10,10
10,28538,2.0,0,100
11,28538,2.0,0,75
12,28538,2.0,0,100
13,28538,2.0,0,10
14,28538,1.0,0,10
15,28538,1.0,0,500
16,28538,1.0,0,500
17,28538,1.0,0,1000
18,28538,1.0,0,75
19,28538,1.0,0,500
20,28538,1.0,0,100
21,28538,2.0,0,10
22,28538,3.0,0,500
23,28538,2.0,0,250
24,28538,2.0,0,250
25,28538,1.0,0,10
26,28538,1.0,0,50
27,28538,1.0,0,1000
28,28538,1.0,0,100
29,28538,2.0,0,250
30,28538,2.0,0,500
31,28538,1.0,0,75
32,28538,1.0,0,1000
33,28538,2.0,0,75
34,28538,1.0,0,1000
35,28538,1.0,0,10
36,28538,1.0,0,10
37,28538,2.0,0,10
38,28538,1.0,0,50
39,28538,1.0,0,500
40,28538,1.0,0,1000
41,28538,2.0,0,1000
42,28538,2.0,0,50
43,28538,2.0,0,250
44,28538,1.0,0,1000
45,28538,1.0,0,250
46,28538,1.0,0,100
47,28538,2.0,0,75
48,28538,2.0,0,1000
49,28538,2.0,0,1000
50,28538,2.0,0,100
51,28538,1.0,0,100
52,28538,2.0,0,10
53,28538,1.0,0,500
54,28538,1.0,0,1000
55,28538,1.0,0,100
56,28538,1.0,0,500
57,28538,1.0,0,1000
58,28538,1.0,0,1000
59,28538,1.0,0,75
60,28538,1.0,0,50
61,28538,1.0,0,50
62,28538,1.0,0,1000
63,28538,1.0,0,50
64,28538,2.0,0,75
65,28538,2.0,0,1000
66,28538,1.0,0,250
67,28538,1.0,0,1000
68,28538,1.0,0,250
69,28538,1.0,0,75
70,28538,1.0,0,75
71,28538,1.0,0,1000
72,28538,1.0,0,250
73,28538,1.0,0,500
74,28538,2.0,0,1000
75,28538,1.0,0,250
76,28538,1.0,0,75
77,28538,1.0,0,1000
78,28538,1.0,0,10
79,28538,1.0,0,250
80,28538,1.0,0,1000
81,28538,1.0,0,10
82,28538,1.0,0,100
83,28538,1.0,0,75
84,28538,1.0,0,250
85,28538,2.0,0,10
86,28538,2.0,0,50
87,28538,1.0,0,50
88,28538,2.0,0,250
89,28538,1.0,0,10
90,28538,1.0,0,10
91,28538,1.0,0,100
92,28538,1.0,0,500
93,28538,1.0,0,10
94,28538,1.0,0,100
95,28538,1.0,0,10
96,28538,1.0,0,10
97,28538,1.0,0,500
98,28538,1.0,0,75
99,28538,1.0,0,500
100,28538,1.0,0,10
101,0,2.0,10,500
102,1,2.0,10,75
103,1,1.0,10,250
104,1,13.0,10,100
105,1,12.0,10,500
106,1,11.0,10,75
107,1,1.0,10,500
108,1,733.0,10,500
109,1,453.0,10,50
110,1,540.0,10,75
111,45,5.0,0,75
112,45,4.0,0,75
113,45,3.0,0,250
114,45,415.0,0,500
115,45,444.0,0,1000
116,46,472.0,0,250
117,6538,1492.0,10,75
118,6572,3195.0,10,50
119,6598,2037.0,10,250
120,6623,321.0,10,1000
