job_id,arrival_time,burst_time,priority,mem_util
0,0,104432.0,10,75
1,1241,1.0,10,50
2,1241,1.0,10,1000
3,1241,1.0,10,1000
4,1241,2.0,10,100
5,1338,160.0,4,250
6,1338,161.0,0,500
7,1338,163.0,0,50
8,1338,164.0,0,250
9,1720,2770.0,4,1000
10,1720,2771.0,4,500
11,1720,2770.0,4,250
12,1720,2771.0,0,75
13,1720,2770.0,0,75
14,1720,2771.0,0,100
15,1720,2770.0,0,75
16,1720,2770.0,0,250
17,1720,2770.0,0,250
18,1720,2771.0,0,50
19,1721,2770.0,0,250
20,1721,2770.0,0,250
21,1721,2771.0,0,250
22,1721,2770.0,0,100
23,1721,2770.0,0,500
24,1721,2771.0,0,10
25,1721,2769.0,0,100
26,1721,2770.0,4,1000
27,1721,2770.0,0,1000
28,1721,2770.0,0,100
29,1721,2770.0,0,500
30,1721,2771.0,0,1000
31,1721,2769.0,0,50
32,1721,2771.0,0,100
33,1721,2770.0,0,75
34,1721,2770.0,0,10
35,1721,2771.0,0,100
36,1721,2769.0,0,500
37,1721,2770.0,0,250
38,1721,2770.0,0,100
39,1721,2770.0,0,500
40,1721,2771.0,0,500
41,1721,2770.0,0,500
42,1721,2769.0,0,1000
43,1721,2771.0,0,100
44,1721,2770.0,0,10
45,1721,2770.0,0,10
46,1721,2771.0,0,100
47,1721,2769.0,0,1000
48,1721,2770.0,0,1000
49,1721,2770.0,0,100
50,1721,2770.0,0,250
51,1721,2770.0,0,250
52,1721,2771.0,0,250
53,1721,2769.0,0,250
54,1721,2771.0,0,100
55,1721,2770.0,0,1000
56,1721,2770.0,0,1000
57,1721,2771.0,0,500
58,1721,2769.0,0,75
59,1721,2770.0,0,10
60,1721,2770.0,0,1000
61,1721,2770.0,0,500
62,1722,2755.0,0,1000
63,1722,2756.0,0,500
64,1722,2755.0,0,10
65,1722,2756.0,0,50
66,1722,2755.0,0,75
67,1722,2755.0,0,100
68,1722,2755.0,0,100
69,1722,2756.0,0,75
70,1722,2755.0,0,50
71,1722,2755.0,0,10
72,1722,2755.0,0,100
73,1722,2756.0,0,1000
74,1722,2755.0,0,1000
75,1722,2755.0,0,50
76,1722,2756.0,0,500
77,1722,2755.0,0,1000
78,1722,2755.0,0,250
79,1722,2755.0,0,250
80,1722,2756.0,0,10
81,1722,2755.0,0,1000
82,1722,2755.0,0,10
83,1722,2755.0,0,100
84,1722,2755.0,0,250
85,1722,2756.0,0,500
86,1722,2755.0,0,1000
87,1722,2756.0,0,500
88,1722,2755.0,0,10
89,1722,2755.0,0,1000
90,1722,2755.0,0,75
91,1723,2756.0,0,250
92,1723,2755.0,0,50
93,1723,2755.0,0,250
94,1723,2755.0,0,100
95,1723,2756.0,0,1000
96,1723,2755.0,0,10
97,1723,2755.0,0,1000
98,1723,2755.0,0,100
99,1723,2755.0,0,1000
100,1723,2755.0,0,500
101,1723,2755.0,0,75
102,1723,2756.0,0,500
103,1723,2755.0,0,75
104,1723,2755.0,0,1000
105,1723,2755.0,0,75
106,1723,2755.0,0,10
107,1723,2756.0,0,250
108,1723,2755.0,0,50
109,1723,2755.0,0,250
110,1723,2755.0,0,100
111,1723,2755.0,0,250
112,1723,2755.0,0,1000
113,1723,2755.0,0,500
114,1723,2755.0,0,250
115,1723,2755.0,0,10
116,1723,2755.0,0,50
117,1723,2755.0,0,1000
118,1723,2755.0,0,500
119,1723,2755.0,0,50
120,1723,2377.0,2,75
121,1723,2755.0,0,75
122,1723,2755.0,0,500
123,1723,2755.0,0,50
124,1723,2755.0,0,250
125,1723,2755.0,0,500
126,1723,2755.0,0,250
127,1723,2755.0,0,100
128,1723,2755.0,0,1000
129,1723,2755.0,0,1000
130,1723,2755.0,0,100
131,1723,1951.0,2,500
132,1724,2755.0,0,1000
133,1724,2755.0,0,1000
134,1724,2755.0,0,1000
135,1724,2755.0,0,250
136,1724,2755.0,0,50
137,1724,2755.0,0,50
138,1724,2755.0,0,1000
139,1724,2341.0,2,500
140,1724,2252.0,2,50
141,1724,2360.0,2,10
142,1724,2755.0,0,250
143,1724,2755.0,0,10
144,1724,2755.0,0,50
145,1724,2755.0,0,75
146,1724,2755.0,0,75
147,1724,2755.0,0,100
148,1724,2755.0,0,50
149,1724,2227.0,2,100
150,1724,1404.0,2,75
151,1724,1659.0,2,500
152,1724,2754.0,0,250
153,1724,2755.0,0,250
154,1724,2754.0,0,10
155,1724,2754.0,0,250
156,1724,2754.0,0,10
157,1724,2755.0,0,1000
158,1724,2754.0,0,10
159,1724,2269.0,2,10
160,1724,1232.0,2,500
161,1724,880.0,2,50
162,1724,2754.0,0,500
163,1724,2754.0,0,75
164,1724,1839.0,2,75
165,1724,2754.0,0,10
166,1724,2754.0,0,100
167,1724,2754.0,0,500
168,1724,2755.0,0,75
169,4795,2.0,0,75
170,4841,15.0,0,1000
171,4841,14.0,0,250
172,4841,14.0,0,500
173,4841,15.0,0,100
174,4841,14.0,0,500
175,4841,14.0,0,50
176,4841,14.0,0,250
177,4841,15.0,0,100
178,4841,14.0,0,500
179,4886,2292.0,10,1000
180,4886,3062.0,2,500
181,4886,3996.0,2,75
182,4886,5645.0,0,75
183,4886,5645.0,0,10
184,4886,5645.0,0,250
185,4886,5645.0,0,50
186,4886,5645.0,0,500
187,4886,5645.0,0,100
188,4886,5645.0,0,1000
189,4886,1702.0,10,75
190,4886,1869.0,2,10
191,4886,2570.0,0,500
192,4886,2180.0,0,1000
193,4886,1640.0,0,10
194,4886,1475.0,0,1000
195,10536,6.0,10,75
196,10536,9.0,0,75
197,10536,9.0,0,75
198,10537,9.0,0,500
199,10537,9.0,0,75
200,10537,9.0,0,1000
201,10537,7.0,10,100
202,10537,8.0,10,10
203,10537,7.0,10,100
204,10537,4.0,10,10
205,10537,8.0,2,100
206,10849,6.0,2,50
207,10849,2.0,2,1000
208,10849,6.0,2,75
209,10849,7.0,0,10
210,10849,2.0,2,500
211,10849,8.0,0,500
212,10849,8.0,0,250
213,10849,7.0,0,100
214,10849,5.0,2,500
215,10849,8.0,2,10
216,10907,8.0,2,100
217,10907,1.0,2,10
218,10907,1.0,2,50
219,10907,1.0,2,75
220,10907,1.0,2,75
221,10907,1.0,2,100
222,10907,1.0,2,500
223,10907,1.0,2,100
224,10907,1.0,2,500
225,10907,1.0,2,250
226,10907,1.0,2,250
227,10907,1.0,2,10
228,10907,1.0,2,100
229,10907,1.0,2,10
230,10907,2.0,2,1000
231,10907,2.0,2,500
232,10907,4.0,2,10
233,10907,2.0,2,500
234,10907,3.0,2,500
235,10907,5.0,2,75
236,10908,4.0,2,1000
237,10908,3.0,2,500
238,10908,5.0,2,100
239,10908,5.0,2,250
240,10908,6.0,2,250
241,10908,4.0,2,50
242,10908,8.0,2,1000
243,10908,3.0,2,100
244,10908,3.0,2,500
245,10908,2.0,2,500
246,10908,59.0,2,250
247,10908,4.0,2,100
248,10908,1.0,2,75
249,10908,1.0,2,1000
250,10908,3.0,2,10
251,10908,1.0,2,50
252,10908,1.0,2,50
253,10908,1.0,2,75
254,10908,1.0,2,500
255,10908,1.0,2,1000
256,10908,1.0,2,500
257,10908,2.0,2,250
258,10908,2.0,2,250
259,10908,2.0,2,1000
260,10908,2.0,2,500
261,10908,3.0,2,500
262,10908,2.0,2,250
263,10908,3.0,2,100
264,10908,3.0,2,10
265,10908,9.0,2,100
266,10908,10.0,2,75
267,10908,12.0,2,500
268,10908,5.0,2,250
269,10908,4.0,2,250
270,10908,4.0,2,75
271,10908,6.0,2,75
272,10909,6.0,2,100
273,10909,8.0,2,100
274,10909,8.0,2,1000
275,10909,8.0,2,1000
276,10909,11.0,2,1000
277,10909,6.0,2,100
278,10909,9.0,2,1000
279,10909,6.0,2,10
280,10909,6.0,2,500
281,10909,83.0,2,50
282,10909,5.0,2,250
283,10909,4.0,2,100
284,10909,4.0,2,100
285,10909,3.0,2,250
286,10909,2.0,2,250
287,10909,2.0,2,500
288,10909,3.0,2,250
289,10909,3.0,2,250
290,10909,3.0,2,1000
291,10909,4.0,2,100
292,10909,5.0,2,75
293,10909,5.0,2,1000
294,10909,3.0,2,250
295,10909,5.0,2,10
296,10909,3.0,2,500
297,10909,5.0,2,10
298,10909,4.0,2,250
299,10909,7.0,2,10
300,10909,7.0,2,10
301,10909,7.0,2,250
302,10909,10.0,2,75
303,10909,9.0,2,50
304,10909,16.0,2,500
305,10909,18.0,2,1000
306,10909,10.0,2,10
307,10909,16.0,2,1000
308,10909,10.0,2,50
309,10909,13.0,2,500
310,10909,12.0,2,250
311,10909,13.0,2,10
312,10909,12.0,2,10
313,10910,11.0,2,75
314,10910,8.0,2,10
315,10910,12.0,2,10
316,10910,15.0,2,10
317,10910,88.0,2,50
318,10910,4.0,2,250
