job_id,machine_num,start_time,finish_time
0,113,422736.6822070504,911929.2454915212
1,53,37997.518927064986,902837.1395018359
2,35,301810.61673315964,862242.6674931231
3,81,46772.85711502632,619995.6820940378
4,52,493142.89342865784,669785.8994955547
5,37,89133.06564274765,797924.5960140186
6,29,297068.2721367916,798447.9506580527
7,113,253702.33331566167,798408.6500606313
8,80,308970.01485805353,514458.97334592935
9,99,278258.5662595605,759732.4700714189
10,99,456865.33897983906,754287.1100695089
11,63,498822.92067977216,530664.9538377038
12,16,278048.68942696886,503888.9662336875
13,80,70867.75783079697,942500.6954116321
14,33,261819.99164215242,699205.5756380564
15,24,16521.699894347596,784479.8557451379
16,93,95982.647953269,511435.0514323335
17,93,1531.8837550489238,555165.4451681951
18,31,99811.99272952945,887666.7715307465
19,13,444462.3413595782,784299.003366452
20,75,392749.1869237487,603855.9980090663
21,54,317934.57141013513,843212.6289830358
22,119,310289.92811652465,752757.7896037623
23,5,435204.31194737245,839614.5571965786
24,17,497751.1652627017,600972.1610147966
25,0,227951.98289382362,733683.2524929373
26,79,358862.401191891,965834.6579220355
27,7,472206.2389909493,520656.84530292376
28,73,271417.5146401623,739974.1953261808
29,80,462800.553573009,655211.9114704086
30,89,258788.23823861018,811269.3895364502
31,106,183710.07769854885,917335.0676809421
32,9,293775.927954335,697582.0713342744
33,21,220567.53819523883,558872.0145208352
34,109,321876.28840862674,600733.624820004
35,63,49298.40363774091,557404.1879940985
36,27,73070.2460686286,777386.789513057
37,11,55083.0505046529,583873.8592785697
38,36,362566.11440298456,876291.6618301227
39,120,187774.81566152527,696564.0511029826
40,27,321649.8494760541,720862.9298579051
41,54,105863.97857084812,503026.2948533968
42,68,263379.7292249581,551290.6254301268
43,42,380912.6688857023,998871.0339465382
44,65,75035.56041417808,744954.0822850215
45,13,30170.50031319968,900868.1768124223
46,97,423330.1271318924,955952.9592123398
47,80,486733.42746865127,595797.6583714583
48,75,444329.4982183177,891061.9404063444
49,8,468106.4843108645,752413.095622435
50,99,245073.96078800186,823451.8444784419
51,100,269669.31010145735,510421.32620430173
52,74,58550.42310174602,561426.4849735267
53,27,223012.75937510186,937608.5792878144
54,94,293564.4759429755,782667.173723292
55,108,149992.8114873611,893728.9688483924
56,115,142326.95777763645,720602.760861495
57,45,106957.29302461576,845150.8209389109
58,40,394746.60506846063,691309.689545467
59,34,211151.83403108804,538059.4634760789
60,56,336285.59991849674,628046.3971829326
61,90,230611.11828736396,706008.1126873817
62,69,18608.308415981934,691485.7334073116
63,56,213649.93040933338,654753.8718503356
64,102,60497.8679836734,575565.0887654955
65,111,50311.29810901336,596868.3006337115
66,28,64670.69597437264,850653.277709876
67,112,75807.07395578707,910702.274097573
68,33,379797.21011267614,947779.8838821254
69,21,91768.54336296058,672254.9128895912
70,82,308347.52628460864,723245.5822703391
71,52,248493.40053394908,919558.5307013683
72,103,80186.63080496136,678616.9770245015
73,70,499125.8340647892,529753.1291892556
74,100,138991.47321628398,836906.0178117709
75,66,398698.02341251815,607185.8718202504
76,116,170264.58298845758,831467.1990869658
77,56,184588.39960017192,858778.2342753568
78,21,283190.2135124411,917014.0131362762
79,78,343734.22081524483,786297.3898758485
80,101,314023.59895289486,844588.6929437533
81,77,304882.8210672763,657742.277336251
82,9,5328.325477035656,534183.0192008417
83,27,291182.77656056604,575464.1796765773
84,71,273905.1941996227,541481.2313167873
85,75,167837.77864540738,733178.9797588887
86,46,320859.08185727074,750661.6860094736
87,100,426287.67800973845,722255.8325965162
88,103,164864.60093325435,792359.5051801
89,70,388489.47748143907,707336.512600262
90,32,260492.83856056214,982169.2984858707
91,46,57982.415600566,549814.9016296054
92,31,299989.58250002214,538635.9712313182
93,76,272146.2250606564,858927.7967819013
94,111,282039.0654232518,979623.7648240428
95,8,438171.4973021674,612709.5914742496
96,102,331888.89193978335,619962.52187076
97,80,327061.9099506413,641224.5651382586
98,56,340854.44422895083,835976.1706554915
99,14,52904.96838433656,915270.1027056007
100,122,38465.679875609116,734017.3675668685
101,70,293628.3232101751,636214.0971910895
102,20,337056.1787721968,715207.2897115697
103,54,48235.122968752985,510362.5754067331
104,42,38402.35856669799,964596.0176373873
105,32,99181.74845975557,590322.1814975376
106,8,426402.6695986498,990313.9831395354
107,32,350401.8071375148,546982.2597628596
108,103,385590.9725593614,785790.847235957
109,118,229014.69805565572,738005.3764102862
110,110,246811.4578817751,585087.5896411062
111,59,185843.7108825543,861199.1704371679
