job_id,machine_num,start_time,finish_time
0,120,128666.36131528308,944500.044083158
1,12,412034.379721399,657340.5397558487
2,94,354130.73809681495,624048.016203691
3,109,21813.127931773866,965271.2639797914
4,7,265721.35015984415,897261.5968460953
5,38,376371.90271878446,627193.9649372555
6,51,192142.1753018108,742765.1480083049
7,46,3570.2587175254207,643653.4268305606
8,55,366683.42081327375,508933.1552689891
9,24,465589.5018621212,707459.2370691833
10,81,459312.8124764335,881004.288770061
11,69,438382.0392850734,629686.1707511432
12,66,58137.922213598926,750606.6154021615
13,119,410225.2422118986,757868.7583519021
14,68,302923.54623126914,904611.0004986797
15,18,276685.97899412806,694244.7112142846
16,24,85822.19628801329,700007.6741374334
17,44,291392.2557331174,549595.5465179087
18,69,103765.91158353032,680289.8762169608
19,69,129174.27896073485,840264.9666331084
20,101,84667.61600223983,923885.7451701476
21,9,455861.7123883055,818102.5643681996
22,106,417120.2000133695,713143.5092608317
23,32,161769.96693211948,928537.7066053874
24,14,193996.05998495512,886210.4910099825
25,122,117096.02196545,956376.3060079976
26,63,212841.9256224866,511144.1148480311
27,10,383732.7186765572,509767.7193581484
28,81,283175.9244638142,815667.7336940845
29,4,299827.1922727689,982441.9689355125
30,29,62044.149750427765,748521.7578703228
31,81,44218.38729271454,662006.6367354931
32,31,399827.8668645564,528542.9930586271
33,24,302142.03071185236,630068.9651226064
34,121,128026.47016245783,925065.3218233715
35,68,345155.0673709603,860080.0543654995
36,24,180826.62581343655,669479.8005082179
37,83,87456.87355634318,569104.8950776584
38,80,419154.18872860464,747447.7213591549
39,53,480611.59739753173,596751.7013433798
40,13,168545.77536367942,520715.3217084036
41,84,265817.7404914273,582320.8303261837
42,117,413448.3405722509,907884.9795801331
43,109,251356.5096202427,809326.7055190592
44,111,319713.2594237626,761464.8702385536
45,8,252572.8902585111,962048.8000178755
46,45,24759.895210682946,716477.7991471031
47,34,23386.96099879406,980793.6687212676
48,77,99622.51303558284,794213.0645736493
49,65,461660.5667661667,750647.8154622685
50,9,340070.79819631623,831637.8605765175
51,103,307434.6183949956,712810.0004560759
52,83,58743.560507826645,648055.1107039966
53,68,244185.31430345002,696072.0007211788
54,39,115577.48095862602,541637.9468599841
55,5,381504.6345334114,920148.2166314321
56,113,445202.8469173355,814761.8203921047
57,106,265201.507446608,792382.1119134827
58,30,252619.68448504113,561117.9929348254
59,15,261778.766784656,986519.3287454642
60,6,236066.05369770617,538191.1470964961
61,97,247749.1952151445,994202.0804796971
62,55,309170.62622606795,891534.61712646
63,82,438105.4833821675,794887.8416049203
64,80,411864.0546103609,589851.0437164565
65,1,455353.8335544277,995277.1383534637
66,96,387344.09074477403,836659.2734057636
67,8,418121.11177094775,553043.2793543353
68,77,209440.64031434795,590900.3638773909
69,83,37797.57319304039,865321.980721228
70,90,447657.3583773765,587673.4891919305
71,49,85651.39956862766,906304.2232543714
72,50,433838.3844964462,586624.0265974149
73,61,145315.9144663176,696794.3314186011
74,32,128179.93598034621,952863.3449451743
75,113,320722.7162446305,950983.4712569364
76,21,496147.98823329573,663613.840557266
77,0,426452.78809057875,732055.597010501
78,3,272707.7783972563,593790.4555177442
79,36,417209.03764206485,898973.4075134248
80,66,366493.25599761953,714380.0188562631
81,95,456191.4559613114,832383.7663644555
82,91,246577.09928920452,989714.2153596212
83,78,245825.40274949383,686378.7408273704
84,36,344268.5984351253,711866.1123950275
85,60,470706.49194079946,815459.2153733647
86,71,362020.9282429894,969540.7190055286
87,52,186887.9158577033,662168.8290994656
88,108,478926.6806477517,802884.3276428712
89,56,394621.04262994137,738493.0936064088
90,116,159739.02245185757,558888.2013187886
91,68,306593.89693954156,749666.4265114849
92,27,119804.4288253451,973819.2310681003
93,25,64547.99959646923,688270.5214924447
94,48,6671.584802239227,927480.8662991077
95,50,450570.28559291543,993572.3160534161
96,49,245601.67248736508,531589.3543756311
97,67,49245.18137807699,796339.218749572
98,12,106663.47153875539,792309.8878990964
99,77,13035.509618868678,866991.3481116253
100,122,18447.96638719126,825564.9438611008
101,34,191711.85574896378,730911.8950013764
102,102,223355.68201565754,667745.2130570775
103,109,458787.76043148886,627499.6999938403
104,44,192844.51042154303,534272.2456427177
105,5,78116.3969769707,650855.3041044285
106,106,478424.27459409455,667781.3095485391
107,88,297134.77080047195,834171.5253545549
108,37,396596.68480652024,900590.88200407
109,11,218302.631758573,546403.6523804698
110,114,460390.33547840395,805727.8316265328
111,89,181680.9602452591,948467.2679481526
